,學校,地區,等級,間/進,總計,,,因傷病,,因經濟困難,,因學業成績不佳,,因志趣不合,,因工作需求,,因懷孕,因育嬰,,因兵役,,因出國,,因論文撰寫,,因適應不良,,因家人傷病,,因考試訓練,,因逾期未註冊、繳費、選課,,其他,,
1,國立政治大學,臺北市,博士,,306,180,126,8,5, -,1, -, -, -, -,22,15,4,26,21,6, -,1,1,26,13, -, -, -, -, -, -,39,28,52,38,一般
,,,碩士,,839,396,443,10,15,2,7, -, -, -, -,51,65,6,16,26,11, -,3,14,54,52, -, -, -, -, -, -,100,115,149,143,一般
,,,碩士,職,660,339,321,6,15, -,1, -, -, -, -,163,132,8,46,49, -, -,3, -,13,22, -, -, -, -, -, -,77,65,31,29,一般
,,,學士,,393,209,184,11,22, -,3,1,2,8,16,4,1, -, -, -,8, -,14,28, -, -, -, -, -, -, -, -,90,41,73,71,一般
2,國立清華大學,新竹市,博士,,291,191,100,5,11,3, -,13,8,3, -,54,17,3,18,11,6, -,3,6,68,34,2,1,9,3, -, -, -, -,7,6,一般
,,,碩士,,528,246,282,27,24,8,4,17,28,20,9,60,84,5,5,26,17, -,12,10,61,74,8,2,3,7,3,8, -, -,5,1,一般
,,,碩士,職,222,54,168,2,16, -, -,3,12, -, -,27,43,11,4,42, -, -,1,1,10,30,1,1,4,7, -,1, -, -,2,4,一般
,,,學士,,331,211,120,14,26,2,3,27,9,96,39,15,2, -, -, -,10, -,19,25,2,2,14,8,5,2,2,1, -, -,5,3,一般
,,,4+X,,1,1, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
3,國立臺灣大學,臺北市,博士,,898,590,308,44,27,14,3, -, -,1,1,107,47,3,50,37,4, -,20,9,179,102, -,1, -, -,1, -,2, -,168,78,一般
,,,碩士,,1325,711,614,47,53,19,9,3,2,25,14,113,116,4,19,24,18, -,54,33,115,130,7,5, -, -,7,4,2,1,282,219,一般
,,,碩士,職,311,189,122,4,5,2,1, -, -, -,1,100,57,3,8,8, -, -,4, -,31,26, -, -, -, -,1, -,1, -,38,21,一般
,,,學士,,743,442,301,35,32,5, -,20,9,122,91,6,1,3,1, -,5, -,79,85, -, -,18,4,4,3, -, -,5,5,142,68,一般
4,國立臺灣師範大學,臺北市,博士,,411,173,238,6,5,8,5, -, -,1,5,64,73,12,29,48,2, -,6,6,43,57,1,1, -, -, -,3,1,2,12,21,師範
,,,碩士,,862,314,548,3,7,17,17, -, -,26,16,109,210,8,10,45,9, -,7,18,79,144,9,11, -, -,11,23,1,1,33,48,師範
,,,碩士,職,470,126,344, -,7,3,8, -, -, -,2,39,99,13,19,65, -, -, -,1,55,104, -, -, -, -, -, -, -, -,10,45,師範
,,,學士,,292,159,133,4,7,6,6,4,2,75,64,19,7,2,1,2,1, -,24,23, -, -,21,18, -, -, -, -,4,2, -, -,師範
5,國立成功大學,臺南市,博士,,429,281,148,13,7,7,4,10,2,2, -,66,23,8,36,23,11, -, -, -,39,23, -,1,26,4,1,2,4,2,66,49,一般
,,,碩士,,555,309,246,23,16,6,4,10,7,21,8,36,46,4,3,17,2, -, -, -,30,28,6,7,32,11,5,10,6,1,129,87,一般
,,,碩士,職,295,186,109,6,7,2, -,3,2, -, -,84,44,1,27,15, -, -, -, -,18,11, -, -,22,14, -,1,6, -,18,14,一般
,,,學士,,429,291,138,13,11,5,1,26,1,114,69,5, -, -, -,2,4, -, -, -, -, -,12,3,11,7,10,5,4, -,87,39,一般
6,國立中興大學,臺中市,博士,,192,123,69,7,2,3, -, -, -,1, -,20,12,2,21,15,2, -,7,1,41,20,1,1,8,2,1, -, -, -,11,14,一般
,,,碩士,,387,207,180,14,19,7,10, -,2,6,5,33,29,1,6,5,1, -,2,1,26,30,7,7,14,12,18,10, -, -,73,49,一般
,,,碩士,職,360,241,119,7,9,1,2, -, -,1, -,100,39,2,42,23, -, -,5, -,46,26, -, -,24,7,1,3, -, -,14,8,一般
,,,學士,,241,151,90,9,8,5,4,13,2,64,32,5,2, -, -, -, -, -,9,13, -, -,2,2,4,4,5, -, -, -,35,23,一般
,,,學士,進,71,23,48,3,10, -,2, -,1,3,4,6,16, -,1, -, -, -,1,3, -, -, -, -,3,6,1, -, -, -,5,6,一般
7,國立陽明交通大學,新竹市,博士,,547,361,186,16,17,13,6,5,2,10,4,101,59,6,46,27,12, -,12,7,113,42,2,2,12,7,4,2,1, -,14,5,一般
,,,碩士,,542,295,247,17,23,12,7,4,4,56,29,57,47,5,4,20,15, -,19,16,75,52,9,18,11,13,12,8, -, -,4,5,一般
,,,碩士,職,315,213,102,3,6,1,1,1, -, -, -,86,33,3,49,23,2, -,5,2,56,28, -,1,8,4,1, -, -, -,1,1,一般
,,,學士,,266,171,95,7,13,1,2,12,4,64,32,4,1,1, -,1,6, -,34,30, -, -,8,2,3,1,25,7,2, -,5,1,一般
8,國立中央大學,桃園市,博士,,213,141,72,5,6,4,1,1, -,1, -,31,14,1,20,15,3, -,3,1,49,21, -, -,9,1, -,1, -, -,15,11,一般
,,,碩士,,295,182,113,9,10,5,6, -, -,18,5,32,27, -,3,2,2, -,4,1,31,23,5,3,4,3,9,9, -, -,60,24,一般
,,,碩士,職,270,174,96,3,4,5,2, -, -, -, -,87,35,4,22,20, -, -,2, -,41,16,1, -,5,7, -, -, -, -,8,8,一般
,,,學士,,144,98,46,7,7,6, -,14,5,41,16,2,1, -, -, -, -, -,7,5, -, -,2,2, -,2,2,1, -, -,17,7,一般
9,國立中山大學,高雄市,博士,,177,117,60,3,4,2, -, -, -, -, -,46,16,1,8,10,2, -, -,2,31,22, -, -,1,1,1, -, -, -,23,4,一般
